gid,funcs
2175,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2180,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2183,"['GO:0008152', 'GO:0009987']"
2185,"['GO:0008152', 'GO:0009987']"
2187,"['GO:0008152', 'GO:0009987']"
2189,"['GO:0008152', 'GO:0009987']"
2195,"['GO:0008152', 'GO:0009987']"
2196,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
2198,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2201,['GO:0009987']
2213,['GO:0065007']
2219,['GO:0065007']
2225,"['GO:0008152', 'GO:0009987']"
2232,"['GO:0008152', 'GO:0009987']"
2235,"['GO:0008152', 'GO:0009987']"
2241,"['GO:0008152', 'GO:0009987']"
2244,"['GO:0008152', 'GO:0009987']"
2259,"['GO:0008152', 'GO:0009987']"
2262,['GO:0008152']
2263,"['GO:0051179', 'GO:0009987']"
2277,"['GO:0051179', 'GO:0009987']"
2283,"['GO:0008152', 'GO:0009987']"
2285,"['GO:0008152', 'GO:0009987']"
2286,"['GO:0008152', 'GO:0009987']"
2289,"['GO:0032502', 'GO:0009987']"
2290,"['GO:0008152', 'GO:0009987']"
2292,['GO:0051179']
2297,"['GO:0008152', 'GO:0009987']"
2301,"['GO:0008152', 'GO:0009987']"
2302,"['GO:0008152', 'GO:0009987']"
2303,"['GO:0008152', 'GO:0009987']"
2305,"['GO:0008152', 'GO:0009987']"
2310,"['GO:0008152', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
2313,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
2316,"['GO:0008152', 'GO:0009987']"
2322,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
2339,"['GO:0008152', 'GO:0009987']"
2341,"['GO:0008152', 'GO:0009987']"
2345,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2346,['GO:0009987']
2349,"['GO:0008152', 'GO:0009987']"
2356,['GO:0009987']
2364,"['GO:0008152', 'GO:0009987']"
2365,"['GO:0008152', 'GO:0009987']"
2368,"['GO:0065007', 'GO:0009987']"
2370,['GO:0009987']
2378,['GO:0065007']
2379,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2392,['GO:0009987']
2393,"['GO:0008152', 'GO:0009987']"
